density,instance,t_mean,t_stdev
0.9,16,3.49776e+07,5.15902e+06
0.9,17,3.27932e+07,1.73611e+06
0.9,18,3.35156e+07,2.42258e+06
0.9,19,3.30843e+07,2.1042e+06
0.9,20,3.45881e+07,3.61951e+06
0.9,21,3.32016e+07,2.63492e+06
0.9,22,3.3615e+07,2.0955e+06
0.9,23,3.3582e+07,1.89444e+06
0.9,24,3.25464e+07,1.22308e+06
0.9,25,3.51933e+07,6.02823e+06
0.9,26,3.32815e+07,1.92878e+06
0.9,27,3.32373e+07,1.58915e+06
0.9,28,3.32966e+07,1.69432e+06
0.9,29,3.3498e+07,2.84484e+06
0.9,30,3.59381e+07,4.96486e+06
